n	avg	sd	min	max	0.02	0.05	0.1	0.2	0.3	0.4	0.5	0.6	0.7	0.8	0.9	0.95	0.97
172	23478015	130163.6	22830959	23730523	23112577	23228442	23314086	23389851	23437920	23471968	23499761	23523649	23554351	23583552	23619531	23644951	23661979
173	24024169	132594.9	23422394	24318497	23674042	23765863	23842839	23925771	23969639	24014320	24045537	24077602	24104348	24137965	24171398	24198633	24209762
174	24582389	142794.8	24017723	24910881	24196836	24308613	24384514	24478935	24536402	24577902	24609364	24638795	24667152	24700231	24736400	24758906	24779260
175	25169443	136198.6	24422876	25454666	24811116	24912068	24997972	25069014	25116618	25153524	25191263	25220648	25248431	25284168	25323396	25353632	25365596
176	25757013	144550.8	24850402	26068588	25373844	25484864	25556639	25651342	25705226	25752171	25784278	25815909	25843096	25872681	25911932	25938519	25957566
177	26346668	148432.7	25529842	26643651	25932570	26080256	26163659	26244193	26297185	26336106	26368710	26397938	26433962	26465630	26505150	26534749	26560209
178	26957582	146659.2	26083488	27242238	26557560	26700339	26780998	26861036	26912154	26950288	26980389	27009318	27038831	27074590	27112441	27150192	27160648
179	27572939	155023.2	26588643	27876425	27145688	27302967	27379659	27468331	27521709	27558769	27599731	27635249	27666927	27696849	27736006	27766512	27783539
180	28195019	159674.5	27317655	28495840	27733999	27890917	27989014	28083771	28145806	28189959	28223409	28256220	28284833	28318503	28363678	28392582	28416538
181	28836189	159628.4	27955842	29147762	28395221	28532654	28628066	28730180	28780029	28828165	28862521	28895979	28928282	28961986	29012186	29045702	29057480
182	29483726	160190.8	28664433	29778444	29065175	29184065	29273959	29373790	29428447	29475474	29515155	29550549	29576214	29611177	29656263	29682462	29699378
183	30139159	160540.9	29308874	30458935	29713934	29855208	29923713	30015338	30079517	30130427	30166694	30199870	30238491	30274060	30314078	30341372	30358319
184	30816578	156725.8	30027801	31129024	30405939	30519705	30610587	30709229	30766939	30807202	30845815	30879170	30910123	30943544	30984264	31017555	31028492
185	31482259	177670.0	30461703	31846726	31024239	31130808	31252228	31358337	31418146	31467441	31517660	31553507	31590272	31629476	31673923	31701035	31720065
186	32187664	159871.2	31083900	32499959	31812063	31905809	31977674	32067552	32131021	32167804	32206644	32243707	32279073	32320098	32369238	32402907	32427435
